epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0525,3.94315,25.2177,1.54245,0.00026,0.07407,0.00068,0.00012,2.58025,8.18252,1.42207,6.88e-06,6.88e-06,6.88e-06
2,18.0956,3.51638,21.5486,1.35437,0.00026,0.07407,0.00069,0.00022,2.48551,7.79186,1.38525,1.4867e-05,1.4867e-05,1.4867e-05
3,26.1018,3.22457,16.2143,1.15292,0.00026,0.07407,0.00072,0.00018,2.44397,7.23747,1.37057,2.21729e-05,2.21729e-05,2.21729e-05
4,34.4276,3.88912,11.2246,1.36182,0.00029,0.07407,0.00051,0.00011,2.39371,7.22368,1.34731,2.87976e-05,2.87976e-05,2.87976e-05
5,42.4701,3.18902,9.4936,1.20206,4e-05,0.03704,9e-05,5e-05,2.35154,7.22495,1.32516,3.47412e-05,3.47412e-05,3.47412e-05
6,50.6815,3.21039,8.16867,1.16458,4e-05,0.01852,9e-05,6e-05,2.39366,7.14009,1.32047,4.00038e-05,4.00038e-05,4.00038e-05
7,59.1122,2.89345,7.1186,1.10044,4e-05,0.01852,0.00011,5e-05,2.49867,7.07549,1.32559,4.45852e-05,4.45852e-05,4.45852e-05
8,67.1658,2.05357,6.01193,0.82277,0.00139,0.05556,0.00218,0.00047,2.54336,6.91143,1.32412,4.84854e-05,4.84854e-05,4.84854e-05
9,75.5336,2.43454,6.8718,1.00652,0.00059,0.05556,0.00319,0.00065,2.60469,6.74734,1.32996,5.17046e-05,5.17046e-05,5.17046e-05
10,83.9344,3.0804,6.64416,0.99835,0.00056,0.07407,0.00399,0.00081,2.64327,6.52964,1.32753,5.42426e-05,5.42426e-05,5.42426e-05
11,92.4661,2.85905,5.919,0.996,0.00051,0.07407,0.00406,0.00083,2.59756,6.36912,1.296,5.60995e-05,5.60995e-05,5.60995e-05
12,100.844,2.34939,5.8944,0.92669,0.00144,0.11111,0.00619,0.00068,2.59279,6.19642,1.28846,5.72753e-05,5.72753e-05,5.72753e-05
13,108.983,2.30744,5.60145,0.87615,0.00166,0.14815,0.00662,0.00073,2.59692,6.11269,1.2884,5.777e-05,5.777e-05,5.777e-05
14,117.441,2.40726,5.50025,0.87143,0.00395,0.16667,0.01748,0.00179,2.59611,6.00543,1.3016,5.75835e-05,5.75835e-05,5.75835e-05
15,125.871,2.17306,5.40856,0.93602,0.0031,0.2037,0.02241,0.00231,2.61396,5.92139,1.31774,5.6716e-05,5.6716e-05,5.6716e-05
16,134.364,1.71253,4.4541,0.73542,0.49124,0.03704,0.03292,0.00356,2.61851,5.87049,1.32129,5.51673e-05,5.51673e-05,5.51673e-05
17,142.938,2.19599,5.06128,0.91782,0.24258,0.03704,0.02935,0.00422,2.58603,5.7898,1.31819,5.29375e-05,5.29375e-05,5.29375e-05
18,151.788,2.03116,4.75839,0.81062,0.0397,0.09259,0.03797,0.00506,2.57065,5.73178,1.31651,5.00265e-05,5.00265e-05,5.00265e-05
19,160.519,2.07725,4.918,0.84973,0.50248,0.03704,0.03839,0.00511,2.53632,5.68882,1.30692,4.64345e-05,4.64345e-05,4.64345e-05
20,170.74,1.88921,4.8057,0.87498,0.78952,0.03413,0.04126,0.00889,2.46987,5.61203,1.29358,4.21613e-05,4.21613e-05,4.21613e-05
21,178.991,1.64998,4.23771,0.74056,0.89759,0.02589,0.04096,0.00883,2.45396,5.58631,1.29377,3.5776e-05,3.5776e-05,3.5776e-05
22,187.578,1.97751,4.69118,0.78735,0.89634,0.02238,0.04254,0.00885,2.42834,5.55437,1.28962,2.89648e-05,2.89648e-05,2.89648e-05
23,195.767,1.78899,4.71033,0.86593,0.89407,0.01852,0.04408,0.00909,2.41684,5.54306,1.29146,2.21536e-05,2.21536e-05,2.21536e-05
24,204.048,2.18288,4.69734,0.84125,0.83878,0.01852,0.0544,0.012,2.3926,5.52702,1.28547,1.53424e-05,1.53424e-05,1.53424e-05
25,213.851,1.94879,4.45383,0.88074,0.8558,0.01852,0.05509,0.01221,2.39094,5.50185,1.28425,8.5312e-06,8.5312e-06,8.5312e-06
